bebidas
3514467.398
3344456.931
3290739.324
3253288.237
2869437.411
3103589.599
3325398.656
3261204.283
3488952.968
3928861.098
4297207.188
6640857.416
4222218.455
4356546.199
4597365.962
4218613.157
3737570.423
4276518.982
4329776.746
4440944.929
4915662.834
5367369.586
5999482.305
9591843.13
5940722.933
5900970.591
5901419.921
5437459.685
5258910.248
5602884.226
5612874.218
6069725.944
6372597.214
7475899.072
8816995.301
13299621.48
8727149.313
8876881.394
8284935.993
7039345.747
7437048.077
7839895.916
8048539.859
8262233.877
8164340.136
9900033.946
11401050.5
19000862.43
12982834.1
12129210.03
12468763.32
13299621.5
10758291.66
11744001.5
13755772.37
13762712.18
14164245.34
17838460.22
18180428.41
31992432.65
20364496.48
20067560.91
19759206.71
20641687.4
18583941.03
