alimentos_preparados_rotiseria
340777.3882
328288.6951
353335.1548
359694.4537
336568.0085
345114.1199
380008.1679
370191.1923
362573.6633
381176.1241
369678.3403
476275.0587
392859.4821
387396.6014
438291.7475
402471.0071
392629.8868
410556.129
445756.383
437960.5555
445612.1843
465288.6951
472385.6955
602646.807
492671.2855
487345.475
560791.4093
539774.582
543928.4604
590336.9224
584032.4124
617698.5667
605838.353
669988.3783
679345.7818
883049.9169
743666.0236
770114.0015
706232.933
462785.3768
495195.6094
492194.6345
518942.5376
552759.8526
547489.9054
1401929.0
630822.706
881476.7888
788246.1859
757531.3155
891016.0557
912712.9804
892263.3778
914622.5901
1052052.786
1087448.228
1103823.945
1226503.662
1213625.23
1679028.685
1401929.429
1370639.589
1589119.305
1719458.547
1779482.857
