subtotal_ventas_alimentos_bebidas
18043789.16
17656879.08
19186248.05
20257135.1
18904574.4
19601615.8
20882660.95
20666687.82
21025932.94
21743902.23
21967173.4
26888567.26
21415403.1
21328882.9
38897886.83
38897886.83
38897886.83
38897886.83
38897886.83
38897886.83
38897886.83
38897886.83
38897886.83
38897886.83
30532173.73
30680257.79
35639253.95
35631833.0
35586722.0
37819361.45
38131665.01
41692727.53
41090401.96
45492474.3
46073845.36
57646427.96
47496667.89
50272765.35
61417479.25
54905216.88
54285024.12
53685318.33
55359666.66
55526501.8
53998395.66
60913255.91
60913255.91
80643208.3
67171235.97
65274742.25
75459017.55
76493949.46
78026097.55
80623853.66
87238128.85
87044720.92
87296730.51
97615705.17
95609863.77
128135286.6
103783610.3
105530494.0
118823011.7
127796957.0
126457871.8
