otros
2806660.309
2354084.901
2266189.277
2146755.887
2117971.483
2358093.345
2678008.532
3234640.071
16148383.6
2538296.932
3079244.883
4502834.048
3142844.95
2995841.865
16148383.6
2625030.728
2698300.463
2874416.495
3340891.026
3951234.3
2924735.55
3313478.76
3606806.562
5985972.076
4137451.761
3865105.05
4127581.777
3457368.228
3597721.708
3907782.501
4297343.576
5064885.08
3970054.858
4634783.45
5219409.783
7726583.681
6038180.459
6081261.137
5464393.749
4487693.823
5243957.218
5435915.285
5935993.913
6781847.072
5591342.428
6525379.813
7539583.62
10230913.54
16148383.6
7255727.266
7679985.788
7203808.534
7525720.927
8024885.233
9421770.845
10487530.93
8585647.018
10121840.86
11464394.1
16665123.15
13433071.98
13301387.17
16148383.6
11910475.62
12349980.06
