verduleria_fruteria
1050313.638
1026166.544
1075525.842
1037213.162
982651.1606
952203.315
994343.5775
1060479.162
1078616.457
1147860.292
1206025.378
1398334.689
1318384.494
1248469.287
1329929.284
1205249.499
1155946.756
1186724.082
1296379.378
1359742.103
1330111.034
1478760.397
1590214.276
1782265.959
1622205.374
1607641.399
1733045.157
1598053.884
1526614.253
1591347.412
1696455.097
1903751.836
1949185.858
2143017.178
2347744.246
2838731.673
2685147.644
2778662.821
3248772.943
2981509.854
2771794.518
2610763.01
2712593.828
2842695.03
2932524.24
3508831.994
1926468.8
4262746.6
4076717.804
3978725.7
4214424.175
4041721.715
3924175.62
3748454.174
3985101.607
4074608.926
4184266.093
4785226.402
4869397.981
5863700.608
6138441.197
6436027.691
6886240.029
6510665.781
6314109.47
