carnes
2606192.942
2600083.591
2824976.726
3006158.76
2799142.123
2883228.762
3013143.968
2946950.822
2991425.025
3091846.913
3032406.663
3674954.1
3091349.877
3136911.742
3635088.654
3537305.151
3439295.801
3786047.216
3902397.037
4015209.774
4200513.124
4495750.371
4504157.02
5446438.436
4540700.406
4861296.852
6187148.574
5891682.427
5732375.989
6000958.162
5890360.285
6419554.862
6359574.893
6957491.715
7072708.039
8877286.117
7726181.493
8316318.598
9503388.959
8667536.044
8676036.988
8376343.244
8463266.123
8611272.962
8411476.062
9440006.04
9366000.915
13502805.48
8347171.3
11768651.95
13353172.98
14047026.36
14204902.67
14134807.88
15147184.63
14736387.95
14721979.89
16349404.55
15761449.15
21265049.45
17408486.73
18260738.31
20827602.02
22877841.24
22841532.85
