indumentaria_calzado_textiles_hogar
772371.8476
672290.5165
667696.6653
838948.2458
915895.1498
1001572.002
1026743.496
786415.484
740572.717
870481.0825
864815.7013
1278355.018
931581.0564
905082.794
964070.681
953653.699
1148685.733
1426312.6
1357253.236
964553.3924
853166.795
1010425.313
1023726.661
1732097.963
1296604.248
1078456.143
1250658.574
1179040.514
1504788.008
1826746.711
1715793.102
1208097.676
1202878.618
1410451.356
1572523.614
2197595.469
1775180.164
1867271.736
1048525.307
1071185.004
2199429.092
2556936.805
2502616.619
1651664.578
1599708.873
1961731.833
2071758.234
3022975.198
2206737.464
1985959.508
1985959.508
2217601.199
2686103.389
3640081.868
4051857.507
2944642.775
2805934.305
3328328.421
3209173.083
4759532.634
3782646.219
3782646.219
3912852.426
4228053.874
5213152.564
