almacen
6705475.318
6576624.803
7437264.174
8211244.093
7651058.084
7911936.245
8482567.662
8275620.18
8319868.332
8319868.332
8282231.901
9667850.147
7836896.414
7699395.381
9795952.073
8945426.331
9171763.803
10197523.39
10941910.28
10804194.91
11194772.66
11730986.06
11863636.2
14277710.69
11509132.28
11400304.63
13664374.99
14448162.66
14391198.42
15319207.31
15602920.27
17125415.37
16428217.44
17942183.89
17296630.39
20776781.42
17489114.38
18718680.52
26179704.49
23511297.23
22865786.67
22614018.9
23393038.41
23393038.41
22018485.45
23772929.58
23577259.62
29052388.41
24393220.47
23633068.01
29069610.33
29827096.11
31328427.63
32622021.61
34683058.37
34500426.75
34298836.96
37081602.26
36354580.02
45199914.72
37505172.62
38209790.62
45418860.16
49991675.91
50150351.46
